TIME,CHAN1,CHAN2
-0.0193,-1.52e+00,2.00e+00
-0.0191,-1.44e+00,1.80e+00
-0.0189,8.80e-01,4.20e+00
-0.0187,8.80e-01,4.00e+00
-0.0185,-2.40e+00,2.20e+00
-0.0183,-3.12e+00,2.20e+00
-0.0181,-1.68e+00,4.60e+00
-0.0179,-8.00e-01,5.00e+00
-0.0177,-2.08e+00,3.60e+00
-0.0175,-2.00e+00,4.00e+00
-0.0173,-4.48e+00,2.60e+00
-0.0171,-4.40e+00,3.40e+00
-0.0169,-1.92e+00,5.00e+00
-0.0167,-1.84e+00,4.80e+00
-0.0165,-4.72e+00,2.60e+00
-0.0163,-5.20e+00,2.60e+00
-0.0161,-3.12e+00,4.60e+00
-0.0159,-3.12e+00,5.00e+00
-0.0157,-2.00e+00,3.40e+00
-0.0155,-2.88e+00,3.40e+00
-0.0153,-4.96e+00,2.40e+00
-0.0151,-4.72e+00,2.80e+00
-0.0149,-1.84e+00,4.60e+00
-0.0147,-1.76e+00,4.40e+00
-0.0145,-4.56e+00,2.20e+00
-0.0143,-4.80e+00,2.20e+00
-0.0141,-2.80e+00,4.20e+00
-0.0139,-2.80e+00,4.40e+00
-0.0137,-1.60e+00,2.80e+00
-0.0135,-2.64e+00,3.20e+00
-0.0133,-4.64e+00,2.00e+00
-0.0131,-4.40e+00,2.60e+00
-0.0129,-1.44e+00,4.20e+00
-0.0127,-1.44e+00,4.20e+00
-0.0125,-4.16e+00,1.80e+00
-0.0123,-4.48e+00,2.00e+00
-0.0121,-2.48e+00,3.80e+00
-0.0119,-2.56e+00,4.20e+00
-0.0117,-1.28e+00,2.00e+00
-0.0115,-2.32e+00,2.20e+00
-0.0113,-4.40e+00,6.00e-01
-0.0111,-4.00e+00,1.00e+00
-0.0109,-1.20e+00,2.00e+00
-0.0107,-1.12e+00,1.80e+00
-0.0105,-3.12e+00,-1.20e+00
-0.0103,-3.28e+00,-1.40e+00
-0.0101,-8.00e-01,2.00e-01
-0.0099,-8.80e-01,4.00e-01
-0.0097,8.80e-01,-1.60e+00
-0.0095,2.40e-01,-1.20e+00
-0.0093,-1.36e+00,-3.00e+00
-0.0091,-8.80e-01,-2.60e+00
-0.0089,2.48e+00,-1.40e+00
-0.0087,2.56e+00,-1.40e+00
-0.0085,4.80e-01,-4.20e+00
